county,dti_avg,ltv_avg,income_estimate,pct_nonwhite_estimate,pct_first_time_buyer
05065,31.784,72.147,53702,9.84,16.216
05067,31.905,77.458,53702,27.268,23.81
05069,32.409,74.646,54128,46.369,11.811
05071,32.688,74.095,53702,25.406,11.688
05073,29.857,80.091,53702,42.071,0.0
05075,28.5,72.726,53702,8.361,11.111
05077,39.1,79.34,53702,55.481,10.0
05079,28.5,72.907,53908,22.536,10.714
05081,31.654,74.935,63851,31.627,15.385
05083,29.274,71.285,53702,12.385,14.516
05085,32.747,76.29,72289,16.125,17.105
05087,33.074,71.621,75899,14.959,16.667
05089,33.589,69.995,53702,8.294,10.714
05091,31.142,75.141,63851,31.503,14.159
05093,30.123,76.24,53702,30.5,13.846
05095,26.125,84.375,60140,51.091,12.5
05097,33.474,70.357,53702,11.027,0.0
05099,33.0,70.923,53702,40.367,0.0
05101,37.833,64.556,53702,7.832,11.111
05103,25.763,78.888,53702,47.635,26.316
05105,29.815,76.485,72289,9.622,18.519
05107,35.333,68.123,53702,61.705,16.667
05109,27.889,68.214,56737,16.619,11.111
05111,32.366,70.35,60922,14.165,9.756
05113,31.3,71.562,53702,13.426,15.0
05115,32.66,73.333,57976,19.502,18.182
05117,30.667,76.861,59359,14.706,22.222
05119,31.366,76.902,72289,41.395,25.204
05121,30.66,72.514,53702,10.15,10.638
05123,30.812,76.408,53702,48.98,25.0
05125,32.52,76.599,72289,18.643,18.563
05127,27.81,69.185,53702,19.245,14.286
05129,28.381,76.877,53702,9.413,4.762
05131,32.138,76.6,56536,28.437,17.961
05133,29.13,71.981,56492,38.369,13.043
05135,28.975,76.591,53702,8.846,11.111
05137,32.513,66.808,53702,7.931,7.692
05139,29.635,78.112,59045,33.649,8.235
05141,32.527,73.088,53702,9.017,6.757
05143,31.321,73.287,75934,29.111,21.253
05145,31.095,74.774,54749,16.44,12.324
05147,25.333,83.12,55486,31.39,0.0
05149,33.397,74.372,56333,27.366,16.176
06001,35.95,58.445,130910,71.552,23.804
06003,40.8,65.396,94583,33.47,10.0
06005,35.114,67.59,81753,23.942,18.987
06007,34.786,68.835,71089,30.205,20.382
06009,34.925,67.211,82016,22.289,16.042
06011,37.357,70.472,71304,68.661,24.107
06013,36.607,64.56,131087,61.578,25.713
06015,36.105,69.295,70728,39.267,20.161
06017,35.502,63.795,90478,26.186,16.534
06019,35.476,70.839,64039,65.649,21.27
06021,35.493,70.703,70728,54.576,17.143
06023,34.501,66.606,70728,29.902,23.729
06025,35.459,69.173,53808,89.749,13.428
06027,36.377,67.366,75390,38.273,28.571
06029,35.682,72.094,61133,60.389,20.429
06031,34.829,69.63,64353,66.598,15.064
06033,34.635,69.391,70728,32.585,22.801
06035,32.806,72.077,70728,32.119,10.448
06037,38.005,62.091,86296,71.513,21.161
06039,35.841,71.666,65627,57.541,24.124
06041,36.195,52.237,131087,33.226,17.397
06043,36.0,67.669,70728,24.77,12.397
06045,35.924,64.495,70728,35.617,21.53
06047,36.274,69.849,61269,75.059,21.291
06049,32.091,73.977,70728,25.402,13.636
06051,35.667,62.922,84200,36.319,9.333
06053,36.519,59.603,83052,70.072,16.738
06055,35.308,60.797,107995,50.19,18.893
06057,35.529,63.622,88666,18.268,18.736
06059,37.301,60.731,86312,58.053,20.176
06061,35.239,67.158,90500,34.035,22.931
06063,31.97,67.509,78137,17.693,9.596
06065,37.565,67.598,76702,61.72,19.898
06067,35.645,69.581,90482,56.656,26.11
06069,37.255,64.665,145548,67.266,20.078
06071,37.216,67.319,76748,67.714,19.58
06073,37.048,63.69,95590,54.355,22.369
06075,36.184,49.366,128166,64.292,20.332
06077,36.312,67.748,76539,70.812,24.253
06079,36.351,61.649,97370,34.059,16.589
06081,36.821,46.916,130928,65.087,16.699
06083,36.15,60.341,89549,59.009,16.402
06085,35.93,50.594,145450,71.818,17.772
06087,36.617,53.173,109931,41.305,15.424
06089,34.375,71.13,69052,23.826,16.515
06091,34.917,68.145,70728,19.19,25.0
06093,34.585,68.197,70728,24.169,12.946
06095,36.201,68.489,95438,62.899,24.307
06097,35.816,62.302,102368,39.239,22.227
06099,35.598,68.273,69654,59.653,20.498
06101,36.665,68.289,69812,57.918,23.958
06103,34.985,68.814,70728,33.771,16.914
06105,32.373,68.738,70728,24.156,23.529
06107,35.246,70.18,55395,66.312,15.694
06109,34.346,69.666,80685,20.679,17.943
06111,37.378,63.506,101096,51.438,21.277
06113,34.268,67.916,90451,56.676,26.058
06115,36.321,72.418,69812,47.919,26.494
08001,37.032,72.361,103157,49.528,26.106
08003,33.0,70.552,72390,51.421,15.686
08005,36.71,71.923,103157,42.504,26.404
08007,33.34,66.957,72390,23.745,9.929
08009,27.333,90.667,72390,17.093,66.667
08011,31.833,76.06,72390,46.12,0.0
08013,33.87,65.017,117793,26.156,23.561
08014,34.095,70.46,103157,27.685,26.91
08015,33.646,63.073,72390,15.148,13.245
08017,42.0,64.685,82250,15.9,0.0
08019,35.378,68.654,103157,13.313,13.445
08021,36.25,71.812,72390,51.566,20.0
08023,33.429,75.861,72390,54.5,7.143
08025,30.444,68.962,72390,41.812,22.222
08027,31.281,66.342,72390,10.33,12.5
08029,36.176,66.746,72390,19.553,17.597
08031,34.511,71.833,102596,45.364,32.401
08033,34.0,69.678,72390,16.17,10.0
08035,34.587,69.398,103157,21.622,22.317
08037,35.878,57.037,98427,35.324,9.542
08039,36.488,67.573,103157,15.027,15.947
08041,35.565,72.421,83746,32.485,21.116
08043,34.812,67.3,72390,16.624,16.933
08045,35.765,66.536,86677,36.984,16.162
08047,34.481,68.308,103157,14.629,12.658
08049,33.156,61.553,91273,12.971,8.681
08051,33.859,61.644,84627,14.604,18.31
08053,31.417,63.16,72390,12.06,8.333
08055,36.825,71.56,72390,28.552,15.0
08057,34.909,72.311,72390,15.81,9.091
08059,34.682,70.222,103157,25.037,26.83
08061,30.0,69.94,72390,13.76,0.0
08063,33.818,77.163,72390,24.232,24.242
08065,36.12,68.848,83773,37.261,22.826
08067,34.411,66.468,89737,22.317,19.56
08069,34.958,69.994,96221,20.199,23.421
08071,36.429,72.294,72390,43.114,14.286
08073,38.708,79.49,72531,15.947,25.0
08075,33.509,73.666,72390,21.704,27.273
08077,34.82,69.32,72740,21.75,14.914
08079,31.067,64.596,72390,10.4,6.667
08081,32.685,72.598,72390,19.519,17.978
08083,33.993,68.121,72390,24.812,15.436
08085,35.176,66.996,72863,26.1,16.176
08087,37.349,73.124,72390,39.913,21.705
08089,34.828,73.687,72390,44.549,20.69
08091,33.058,64.068,79048,11.552,7.692
08093,35.246,69.714,103157,14.363,10.82
08095,32.667,79.988,72390,17.361,22.222
08097,32.534,59.388,97643,17.503,13.793
08099,35.333,70.114,72390,39.744,27.778
08101,35.358,70.111,62959,45.161,15.527
08103,33.615,75.347,79130,15.488,17.308
08105,33.17,72.317,72390,41.111,13.208
08107,34.996,59.299,95594,13.405,11.211
08109,36.28,71.861,72390,22.764,24.0
08111,35.235,63.798,72390,18.44,29.412
08113,32.5,57.198,84078,15.621,6.818
08115,28.778,73.529,72390,19.55,44.444
08117,33.084,60.619,92436,23.793,15.857
08119,35.238,70.51,83751,14.848,14.615
08121,30.762,70.831,72390,16.157,33.333
08123,36.135,72.859,85167,31.725,23.85
08125,32.853,73.572,72390,31.859,14.706
09001,34.484,72.919,120106,38.514,34.48
09003,33.019,77.258,101539,32.657,33.697
09005,34.487,75.981,101473,15.729,32.709
09007,32.799,75.555,101543,18.626,31.871
09009,34.467,75.831,92508,31.78,34.307
09011,33.579,76.038,94894,22.639,30.365
09013,33.644,76.812,101543,16.52,30.045
09015,35.424,74.981,96860,16.347,26.567
10001,34.669,75.056,70383,42.249,22.564
10003,33.263,76.779,95202,43.429,30.86
10005,32.772,66.551,76099,19.568,12.428
11001,33.11,74.213,126242,61.728,39.946
12001,33.56,76.753,67986,38.09,29.115
12003,34.143,73.689,76537,19.734,21.849
12005,34.681,73.741,68575,22.736,15.466
12007,35.609,75.496,53929,25.065,18.75
12009,34.894,71.565,73489,28.442,20.58
12011,36.89,71.541,69288,62.654,28.269
12013,35.667,75.866,55239,18.82,12.5
12015,36.057,69.035,63887,18.371,12.8
12017,35.201,70.956,57253,15.638,15.538
12019,35.109,70.778,76537,33.116,15.896
12021,35.51,66.002,84749,32.462,12.783
12023,33.544,69.651,59159,26.722,13.596
12027,34.854,70.15,53858,30.662,18.75
12029,36.0,72.516,53858,14.733,12.821
12031,34.635,72.867,76586,44.394,22.005
12033,34.353,73.355,71094,31.903,18.784
12035,36.1,69.287,66467,27.536,13.402
12037,31.905,68.657,54971,18.196,4.054
12039,35.551,72.994,72943,66.434,14.407
12041,33.242,72.723,67742,16.795,13.636
12043,35.341,79.552,53858,37.187,36.364
12045,33.918,73.059,60978,21.306,7.595
12047,30.909,65.217,58949,39.203,13.636
12049,33.158,68.603,53858,51.188,18.421
12051,35.92,74.925,53858,67.189,25.664
12053,36.266,70.671,71769,25.967,18.149
12055,35.202,70.825,52793,32.019,14.378
12057,35.143,72.443,71792,51.59,21.72
12059,32.688,67.41,53858,10.888,12.5
12061,35.62,69.384,72001,25.162,17.696
12063,33.09,73.024,53858,33.8,11.236
12065,34.392,65.68,72943,35.673,13.725
12067,28.25,78.042,53858,21.802,16.667
12069,35.809,72.107,70774,36.238,20.012
12071,35.65,69.572,71094,31.739,15.93
12073,32.565,75.394,72968,39.142,19.815
12075,36.462,68.693,67742,23.147,16.875
12077,28.8,73.281,56063,15.082,20.0
12079,35.265,75.602,53858,41.392,20.588
12081,35.15,69.245,77172,24.772,17.096
12083,35.121,71.707,56327,32.392,16.164
12085,35.057,66.202,68843,20.127,18.131
12086,37.186,72.087,69376,84.002,32.784
12087,36.119,63.704,84215,31.189,9.524
12089,34.07,69.095,76543,17.682,13.822
12091,34.448,71.425,79490,28.501,15.059
12093,36.221,73.283,53858,36.949,26.471
12095,35.017,72.85,70823,57.103,24.568
12097,36.804,73.797,70774,62.658,18.731
12099,36.262,69.244,69235,42.256,23.006
12101,35.233,73.504,71769,32.68,24.479
12103,34.681,70.474,71851,26.28,20.216
12105,36.557,73.904,59754,46.369,18.927
12107,33.972,70.97,53858,30.448,17.391
12109,34.463,70.309,76537,22.618,16.158
12111,37.337,70.487,68681,42.679,23.104
12113,33.597,71.531,71094,20.301,15.485
12115,35.02,67.589,77253,17.468,13.612
12117,34.35,73.248,70774,43.099,26.302
12119,34.876,67.71,72792,11.335,10.997
12121,34.891,70.711,54807,27.543,7.921
12123,29.979,72.472,53858,23.073,8.333
12125,34.593,73.746,59145,24.324,14.815
12127,35.573,71.24,65794,27.414,17.741
12129,33.097,71.293,72943,21.366,13.717
12131,35.044,67.482,79490,16.366,13.155
12133,35.09,71.835,53858,21.765,14.103
13001,28.241,72.456,55969,28.886,10.345
13003,34.5,73.04,55969,46.202,0.0
13005,31.615,78.975,55969,24.273,23.077
13007,30.167,69.367,55969,47.257,16.667
13009,32.39,71.414,64161,40.394,14.384
13011,33.821,69.734,58969,13.533,16.26
13013,34.842,71.48,84791,31.926,20.132
13015,34.261,73.176,84791,25.312,18.789
13017,33.714,70.822,55969,42.352,7.143
13019,34.226,72.186,55969,20.047,12.903
13021,32.581,76.438,62659,50.947,25.051
13023,33.781,78.253,55969,26.575,18.75
13025,34.815,74.39,69426,9.849,14.815
13027,37.375,67.716,59281,43.18,16.667
13029,33.234,75.443,75167,28.786,18.639
13031,32.65,73.584,64248,34.597,20.333
13033,34.604,77.598,67596,49.528,15.094
13035,35.082,70.894,84791,30.089,14.706
13037,31.0,78.093,55969,70.89,33.333
13039,34.369,73.622,68288,28.887,14.968
13043,39.533,64.861,55969,40.499,20.0
13045,33.1,72.037,84791,29.068,15.964
13047,33.199,73.684,70533,12.235,16.372
13049,37.81,73.652,55969,42.132,23.81
13051,34.312,73.874,75231,46.405,21.593
13053,32.0,76.405,62459,41.7,0.0
13055,32.344,70.104,55969,17.503,10.938
13057,33.695,72.235,84791,24.812,19.861
13059,32.756,73.815,71301,43.916,24.682
13061,32.125,67.622,55969,59.87,12.5
13063,36.226,70.444,84730,90.083,17.896
13065,29.8,70.498,55969,34.268,0.0
13067,32.825,74.117,84787,49.057,25.225
13069,33.565,70.054,55969,40.592,14.516
13071,34.011,72.343,55969,38.273,13.793
13073,33.07,75.588,67596,36.176,18.236
13075,34.606,73.936,55969,34.115,6.061
13077,33.232,72.638,84775,27.694,18.547
13079,34.458,75.978,62540,30.52,25.0
13081,32.646,71.867,55969,53.508,6.25
13083,34.355,75.222,70533,8.83,17.742
13085,33.855,74.066,84791,11.985,25.201
