county,dti_avg_2018,ltv_avg_2018,income_estimate_2018,pct_nonwhite_estimate_2018,pct_first_time_buyer_2018,dti_avg_2019,ltv_avg_2019,income_estimate_2019,pct_nonwhite_estimate_2019,pct_first_time_buyer_2019,dti_avg_2020,ltv_avg_2020,income_estimate_2020,pct_nonwhite_estimate_2020,pct_first_time_buyer_2020,dti_avg_2021,ltv_avg_2021,income_estimate_2021,pct_nonwhite_estimate_2021,pct_first_time_buyer_2021,dti_avg_2022,ltv_avg_2022,income_estimate_2022,pct_nonwhite_estimate_2022,pct_first_time_buyer_2022
37049,32.614,77.573,54896,27.055,24.272,32.181,78.392,56672,26.457,23.354,30.554,75.773,59618,26.072,15.411,30.152,72.862,63021,26.459,14.272,32.78,74.362,65679,30.658,19.536
37051,33.577,80.066,52113,49.342,24.759,32.715,80.358,52719,49.253,26.316,31.115,78.836,54634,47.756,19.334,30.996,76.564,58509,48.529,17.695,33.485,76.405,61027,59.416,19.588
37053,33.518,75.345,71968,8.753,12.42,33.606,76.72,74580,9.226,13.081,31.721,73.682,78139,8.511,6.052,31.607,70.414,80935,9.15,7.278,34.246,70.966,83421,14.664,10.462
37055,34.531,73.645,63667,9.636,7.014,33.122,73.14,65366,9.57,8.06,31.616,71.203,69091,9.416,4.539,32.327,67.072,70946,9.713,5.343,34.624,66.809,78465,12.034,7.829
37057,32.142,79.804,57188,15.096,23.564,30.604,79.288,59979,13.854,23.57,29.092,75.282,62324,13.208,13.837,29.08,72.4,64562,13.642,13.521,32.676,74.191,66563,19.587,24.1
37059,31.866,77.933,57188,12.538,20.408,31.124,78.835,59979,12.376,22.197,28.941,75.271,62324,11.991,11.032,28.87,72.275,64562,12.41,10.689,31.042,74.262,66563,17.492,22.385
37061,32.621,79.449,49289,46.69,26.214,32.446,78.376,51309,45.492,21.782,30.505,74.515,53799,44.227,14.356,29.217,70.856,55814,42.525,10.368,31.802,68.37,58473,43.947,15.508
37063,31.687,79.044,72731,50.793,36.766,30.168,78.466,76973,49.694,32.38,28.049,74.665,80198,48.728,20.179,28.183,70.446,82520,49.249,17.69,31.814,72.593,84764,54.396,29.825
37065,32.427,80.461,49776,53.58,38.542,31.252,80.184,52184,52.537,20.721,29.76,78.605,55555,54.245,21.233,29.107,75.059,57605,54.047,13.333,32.869,74.946,57013,62.37,26.178
37067,30.949,82.035,57213,30.74,35.81,30.277,81.054,59979,29.001,31.755,28.334,77.388,62358,26.661,19.492,28.709,73.562,64564,27.758,16.296,31.779,74.921,66563,36.518,26.68
37069,33.57,79.54,81466,31.036,22.131,32.204,79.376,84753,29.856,18.764,30.549,76.598,88590,30.634,13.593,30.783,73.877,93059,31.259,16.221,32.272,73.581,96929,35.487,21.102
37071,32.306,80.757,67278,20.702,27.68,31.579,80.009,70742,19.3,24.844,29.746,75.57,74342,18.483,15.805,29.731,72.134,77814,19.219,14.774,33.023,73.882,80519,28.59,24.456
37073,31.473,74.982,71968,36.629,16.364,31.774,80.784,74580,37.015,22.581,30.802,73.734,78139,36.83,16.049,30.227,70.51,80935,36.702,10.227,32.308,69.162,83421,36.178,9.615
37075,31.508,74.076,49289,5.924,8.197,30.56,76.096,51309,5.921,8.0,32.622,70.112,53799,8.048,5.882,31.792,71.609,55814,7.319,8.462,32.846,71.04,57962,11.464,6.154
37077,33.041,80.451,59521,33.237,24.625,31.67,80.278,76978,31.799,23.432,29.741,75.995,80199,31.303,13.615,29.607,71.46,82520,31.481,11.799,32.101,71.942,84764,38.643,21.726
37079,30.706,77.45,50981,52.38,21.569,28.262,82.81,51309,53.637,35.714,27.691,75.368,53799,52.171,18.519,30.019,74.58,55814,52.268,13.084,31.542,75.938,57962,51.947,20.339
37081,32.047,80.56,56307,32.205,30.879,30.487,80.531,58840,31.709,27.999,28.291,75.976,61051,28.494,16.405,28.737,72.58,63152,31.015,15.078,31.858,74.148,65913,43.565,24.365
37083,33.106,77.525,49289,51.828,20.497,31.135,78.252,51309,51.453,13.492,30.014,74.132,53799,50.086,10.764,29.965,71.349,55814,50.498,9.73,31.589,73.446,57962,52.224,21.622
37085,32.847,80.811,56496,33.172,28.239,32.195,80.502,52719,32.978,25.597,30.975,77.091,54634,31.846,17.818,30.852,74.281,58509,32.39,17.509,32.973,75.696,61027,38.681,26.452
37087,33.156,74.136,58989,5.845,15.417,30.815,73.871,61792,5.915,14.302,30.827,71.116,65394,5.992,10.657,31.134,69.082,68464,5.889,9.47,33.609,69.954,71753,10.012,15.622
37089,32.144,74.036,59176,13.393,19.639,31.835,73.199,61792,13.378,14.898,30.327,69.871,65394,13.137,10.251,30.162,67.608,68464,13.549,10.824,32.894,68.854,71595,18.996,17.271
37091,33.829,78.118,49289,64.06,28.571,30.675,83.12,51309,63.085,30.0,30.12,81.418,53799,62.053,12.0,30.059,75.837,55814,65.26,13.725,31.61,79.732,57962,64.469,21.951
37093,34.976,80.804,52113,55.925,29.167,30.794,80.306,52719,56.045,23.636,31.444,77.315,54634,56.701,17.375,31.561,76.815,58509,56.634,17.965,33.798,75.991,61027,60.458,17.702
37095,32.931,68.244,49289,40.86,10.345,29.567,73.974,51309,40.86,6.667,32.46,74.76,53799,40.86,4.0,31.121,66.953,55814,40.86,3.03,33.95,73.639,57962,35.25,7.5
37097,32.922,77.875,67278,17.781,21.783,31.782,77.787,70742,17.103,18.644,29.585,73.314,74342,16.261,10.755,29.403,70.035,77814,17.183,11.056,32.667,72.047,80486,24.931,21.493
37099,32.839,74.385,52771,13.36,12.61,30.928,72.986,57134,13.035,12.019,29.473,71.177,58862,13.132,6.46,30.751,69.65,62387,13.577,7.956,33.089,71.233,63715,19.068,12.706
37101,33.147,80.35,81466,26.63,23.48,32.396,79.652,84753,26.362,20.921,30.065,76.682,88590,25.925,12.956,30.243,72.756,93059,26.7,12.257,33.436,73.998,96833,35.365,21.911
37103,30.921,79.312,54896,39.596,21.053,32.958,75.998,56672,40.3,4.167,31.76,74.031,59618,40.835,14.0,28.151,77.34,63021,40.98,15.068,29.119,71.19,65462,39.171,14.286
37105,31.078,79.452,57288,32.5,28.052,31.717,79.009,58523,31.668,25.661,30.059,76.892,58313,28.927,16.947,30.117,73.386,59667,31.468,15.718,32.886,74.463,59013,35.337,23.774
37107,31.766,83.29,49289,41.347,28.226,31.188,82.082,51465,41.186,30.556,29.62,76.839,53799,39.668,14.876,29.493,74.291,55814,39.832,14.776,31.612,75.014,57962,49.33,23.789
37109,31.82,77.137,67278,11.595,18.13,31.761,74.9,70742,10.654,15.602,29.349,72.016,74342,10.72,8.191,29.776,69.242,77814,11.314,10.289,32.245,69.769,80486,16.249,18.049
37111,32.526,76.837,49289,10.353,18.421,31.753,73.819,51309,10.85,14.17,29.527,70.015,53799,10.058,10.581,30.265,67.966,55814,10.392,8.991,32.831,70.207,57962,14.75,18.052
37113,32.514,74.722,49289,8.895,12.56,31.52,74.71,51309,8.815,12.262,30.438,72.626,54985,8.82,9.32,30.678,69.046,57171,8.756,7.692,32.957,69.215,60288,13.856,13.011
37115,34.522,71.471,58989,5.099,17.197,31.47,73.614,61848,4.988,15.814,31.215,69.46,65394,4.995,9.091,31.861,68.074,68464,5.001,12.017,33.752,68.029,71595,9.143,15.649
37117,29.895,81.389,49289,49.742,33.333,27.531,80.502,51309,43.06,16.327,30.375,78.72,53799,44.691,15.909,28.658,75.458,55814,42.633,21.368,35.525,74.283,57962,44.277,33.898
37119,32.627,79.571,67278,41.456,33.249,30.952,78.398,70751,39.791,26.974,27.962,73.751,74342,37.395,16.344,28.463,70.322,77814,39.415,15.909,32.241,73.328,80496,50.522,28.751
37121,32.506,75.292,51302,5.593,12.644,31.686,76.482,53071,5.71,17.647,29.978,73.853,56584,5.633,13.26,29.871,70.386,59607,5.674,9.375,32.041,71.622,61051,9.255,18.182
